IPAddress,Parameter,Periodicity,RFValue,Thresholdvalue,ClientName
192.168.244.12,Availability,10,12,0,ATMSL
192.168.224.135,CiscoMemoryUtilization,60,3,75,ATMSL
192.168.224.135,RouterCPUUtilization,60,3,60,ATMSL
192.168.224.135,InterfaceCRCErrors(GigabitEthernet0/0),120,3,100,ATMSL
192.168.224.135,InterfaceInUtilization(GigabitEthernet0/0),60,3,90,ATMSL
192.168.224.135,InterfaceOutUtilization(GigabitEthernet0/0),60,3,90,ATMSL
192.168.224.135,InterfaceCRCErrors(GigabitEthernet0/1),120,3,100,ATMSL
192.168.224.135,InterfaceInUtilization(GigabitEthernet0/1),60,3,90,ATMSL
192.168.224.135,InterfaceOutUtilization(GigabitEthernet0/1),60,3,90,ATMSL
192.168.224.135,InterfaceCRCErrors(GigabitEthernet0/2),120,3,100,ATMSL
192.168.224.135,InterfaceInUtilization(GigabitEthernet0/2),60,3,90,ATMSL
192.168.224.135,InterfaceOutUtilization(GigabitEthernet0/2),60,3,90,ATMSL
192.168.224.135,InterfaceCRCErrors(GigabitEthernet0/3),120,3,100,ATMSL
192.168.224.135,InterfaceInUtilization(GigabitEthernet0/3),60,3,90,ATMSL
192.168.224.135,InterfaceOutUtilization(GigabitEthernet0/3),60,3,90,ATMSL
192.168.224.135,InterfaceCRCErrors(GigabitEthernet0/0.500),120,3,100,ATMSL
192.168.224.135,InterfaceInUtilization(GigabitEthernet0/0.500),60,3,90,ATMSL
192.168.224.135,InterfaceOutUtilization(GigabitEthernet0/0.500),60,3,90,ATMSL
192.168.224.135,InterfaceCRCErrors(GigabitEthernet0/0.501),120,3,100,ATMSL
192.168.224.135,InterfaceInErrorsRate(GigabitEthernet0/0),180,3,10,ATMSL
192.168.224.135,InterfaceOutErrorsRate(GigabitEthernet0/0),180,3,10,ATMSL
192.168.224.135,InterfaceInDiscardsRate(GigabitEthernet0/0),180,3,10,ATMSL
192.168.224.135,InterfaceOutDiscardsRate(GigabitEthernet0/0),180,3,10,ATMSL
192.168.224.135,InterfaceInErrorsRate(GigabitEthernet0/1),180,3,10,ATMSL
192.168.224.135,InterfaceOutErrorsRate(GigabitEthernet0/1),180,3,10,ATMSL
192.168.224.135,InterfaceInDiscardsRate(GigabitEthernet0/1),180,3,10,ATMSL
192.168.224.135,InterfaceOutDiscardsRate(GigabitEthernet0/1),180,3,10,ATMSL
192.168.224.135,InterfaceInErrorsRate(GigabitEthernet0/2),180,3,10,ATMSL
192.168.224.135,InterfaceOutErrorsRate(GigabitEthernet0/2),180,3,10,ATMSL
192.168.224.135,InterfaceInDiscardsRate(GigabitEthernet0/2),180,3,10,ATMSL
192.168.224.135,InterfaceOutDiscardsRate(GigabitEthernet0/2),180,3,10,ATMSL
192.168.224.135,InterfaceInErrorsRate(GigabitEthernet0/3),180,3,10,ATMSL
192.168.224.135,InterfaceOutErrorsRate(GigabitEthernet0/3),180,3,10,ATMSL
192.168.224.135,InterfaceInDiscardsRate(GigabitEthernet0/3),180,3,10,ATMSL
192.168.224.135,InterfaceInErrorsRate(GigabitEthernet0/0.500),180,3,10,ATMSL
192.168.224.135,InterfaceOutErrorsRate(GigabitEthernet0/0.500),180,3,10,ATMSL
192.168.224.135,InterfaceInDiscardsRate(GigabitEthernet0/0.500),180,3,10,ATMSL
192.168.224.135,InterfaceInErrorsRate(GigabitEthernet0/0.501),180,3,10,ATMSL
192.168.224.135,InterfaceOutErrorsRate(GigabitEthernet0/0.501),180,3,10,ATMSL
192.168.224.135,InterfaceInDiscardsRate(GigabitEthernet0/0.501),180,3,10,ATMSL
192.168.224.135,InterfaceInErrorsRate(GigabitEthernet0/1.502),180,3,10,ATMSL
192.168.224.135,InterfaceOutErrorsRate(GigabitEthernet0/1.502),180,3,10,ATMSL
192.168.224.135,InterfaceInErrorsRate(GigabitEthernet0/1.503),180,3,10,ATMSL
192.168.224.135,InterfaceOutErrorsRate(GigabitEthernet0/1.503),180,3,10,ATMSL
192.168.224.135,InterfaceInErrorsRate(GigabitEthernet0/2.200),180,3,10,ATMSL
192.168.224.135,InterfaceOutErrorsRate(GigabitEthernet0/2.200),180,3,10,ATMSL
192.168.224.135,InterfaceOperStatus(Tunnel100),60,3,DOWN,ATMSL
192.168.224.135,InterfaceInErrorsRate(Tunnel100),180,3,10,ATMSL
192.168.224.135,InterfaceOutErrorsRate(Tunnel100),180,3,10,ATMSL
192.168.224.135,CiscoTemperature,60,3,45,ATMSL
192.168.224.135,PacketLoss,60,3,10,ATMSL
192.168.224.135,InterfaceOperStatus(GigabitEthernet0/0),60,3,DOWN,ATMSL
192.168.224.135,InterfaceOperStatus(GigabitEthernet0/2),60,3,DOWN,ATMSL
192.168.224.135,InterfaceOutDiscardsRate(GigabitEthernet0/3),180,3,10,ATMSL
192.168.224.135,InterfaceOperStatus(GigabitEthernet0/0.500),60,3,DOWN,ATMSL
192.168.224.135,InterfaceOutUtilization(GigabitEthernet0/0.501),60,3,90,ATMSL
192.168.224.135,InterfaceOutDiscardsRate(GigabitEthernet0/0.501),180,3,10,ATMSL
192.168.224.135,InterfaceOperStatus(GigabitEthernet0/1.502),60,3,DOWN,ATMSL
192.168.224.135,InterfaceInDiscardsRate(GigabitEthernet0/1.502),180,3,10,ATMSL
192.168.224.135,InterfaceOutUtilization(GigabitEthernet0/1.503),60,3,90,ATMSL
192.168.224.135,InterfaceOutDiscardsRate(GigabitEthernet0/1.503),180,3,10,ATMSL
192.168.224.135,InterfaceInUtilization(GigabitEthernet0/2.200),60,3,90,ATMSL
192.168.224.135,InterfaceOperStatus(GigabitEthernet0/2.200),60,3,DOWN,ATMSL
192.168.224.135,InterfaceInDiscardsRate(GigabitEthernet0/2.200),180,3,10,ATMSL
192.168.224.135,InterfaceOutUtilization(Tunnel100),60,3,90,ATMSL
192.168.224.135,InterfaceOutDiscardsRate(Tunnel100),180,3,10,ATMSL
192.168.224.135,InterfaceInUtilization(Tunnel101),60,3,90,ATMSL
192.168.224.135,InterfaceInDiscardsRate(Tunnel101),180,3,10,ATMSL
192.168.224.135,InterfaceOutUtilization(Tunnel102),60,3,90,ATMSL
192.168.224.135,ResponseTime,60,3,250,ATMSL
192.168.224.135,Availability,60,3,0,ATMSL
192.168.224.135,InterfaceOperStatus(GigabitEthernet0/1),60,3,DOWN,ATMSL
