IPAddress,Parameter,Periodicity,RFValue,Thresholdvalue,ClientName
10.254.228.8,InterfaceInUtilization(em1),60,3,90,ATMSL
10.254.228.8,InterfaceOutUtilization(em1),60,3,90,ATMSL
10.254.228.8,InterfaceOutUtilization(em2),60,3,90,ATMSL
10.254.228.8,InterfaceCRCErrors(em1),120,3,100,ATMSL
10.254.228.8,InterfaceInDiscardsRate(em2),180,3,10,ATMSL
10.254.228.8,InterfaceInErrorsRate(em2),180,3,10,ATMSL
10.254.228.8,InterfaceOperStatus(em1),60,3,DOWN,ATMSL
10.254.228.8,InterfaceCRCErrors(em2),120,3,100,ATMSL
10.254.228.8,InterfaceInDiscardsRate(em1),180,3,10,ATMSL
10.254.228.8,InterfaceOutDiscardsRate(em1),180,3,10,ATMSL
10.254.228.8,InterfaceOutDiscardsRate(em2),180,3,10,ATMSL
10.254.228.8,InterfaceOutErrorsRate(em1),180,3,10,ATMSL
10.254.228.8,InterfaceOutErrorsRate(em2),180,3,10,ATMSL
10.254.228.8,InterfaceInErrorsRate(em1),180,3,10,ATMSL
10.254.228.8,InterfaceInUtilization(em2),60,3,90,ATMSL
10.254.228.8,InterfaceOperStatus(em2),60,3,DOWN,ATMSL
192.168.224.3,InterfaceCRCErrors(GigabitEthernet0/13),120,3,100,ATMSL
192.168.224.3,InterfaceCRCErrors(GigabitEthernet0/14),120,3,100,ATMSL
192.168.224.3,InterfaceCRCErrors(GigabitEthernet0/15),120,3,100,ATMSL
192.168.224.3,InterfaceCRCErrors(GigabitEthernet0/16),120,3,100,ATMSL
192.168.224.3,InterfaceCRCErrors(GigabitEthernet0/6),120,3,100,ATMSL
192.168.224.3,InterfaceCRCErrors(GigabitEthernet0/7),120,3,100,ATMSL
192.168.224.3,InterfaceCRCErrors(GigabitEthernet0/8),120,3,100,ATMSL
192.168.224.3,InterfaceCRCErrors(GigabitEthernet0/9),120,3,100,ATMSL
192.168.224.3,InterfaceCRCErrors(Vlan101),120,3,100,ATMSL
